For 1000 games: 
# of threads | computation time 
   1	392917.700000
   2	423528.800000
   3	396986.100000
   4	405024.150000
   5	409472.700000
   6	308611.350000
   7	338146.800000
   8	348622.650000
   9	322365.350000
   10	327351.950000
   11	336329.850000
   12	467950.950000
   13	380524.800000
   14	345021.700000
   15	338177.450000
   16	345085.350000
   17	363023.850000
   18	352396.850000
   19	345734.850000
   20	396498.100000
   300	310742.300000
   301	313472.750000
   302	321311.200000
   303	298554.150000
   304	316235.550000
   305	314159.850000
   306	332128.300000
   307	346773.200000
   308	360469.800000
   309	353740.150000
   310	287663.500000
   311	286201.500000
   312	289747.100000
   313	335206.450000
   314	316501.200000
   315	307248.750000
   316	334347.650000
   317	314523.900000
   318	297837.000000
   319	292877.350000
   320	295501.650000
