18	1
19	8
20	70
21	172
22	1082
23	1701
24	6534
25	9241
26	23265
27	28546
28	52072
29	57119
30	77162
31	77804
32	81333
33	78247
34	72307
35	68200
36	64636
37	62356
38	62972
39	60191
40	61800
41	59664
42	61484
43	59096
44	60677
45	58556
46	61351
47	60007
48	59947
49	59041
50	60943
51	58916
52	59665
53	58732
54	60143
55	58523
56	59447
57	58207
58	59564
59	58373
60	59315
61	58590
62	58682
63	57481
64	58128
65	57474
66	58483
67	57086
68	57664
69	56575
70	57869
71	56627
72	57401
73	55938
74	56651
75	55576
76	56394
77	55349
78	56027
79	54452
80	55077
81	53877
82	54259
83	53015
84	53243
85	52202
86	52493
87	51475
88	51655
89	50807
90	50988
91	50186
92	50009
93	49330
94	49336
95	48638
96	48131
97	47565
98	47630
99	46812
100	46151
101	46025
102	45680
103	44913
104	44660
105	44738
106	44199
107	43674
108	43376
109	42945
110	42285
111	42195
112	41806
113	41530
114	41051
115	40382
116	40476
117	40124
118	39627
119	39690
120	38763
121	39050
122	38388
123	37703
124	37668
125	37354
126	37263
127	37248
128	36513
129	36349
130	35957
131	35596
132	35529
133	35053
134	34800
135	34200
136	34458
137	33896
138	33790
139	33596
140	33320
141	32930
142	32601
143	32327
144	32120
145	31391
146	31771
147	31477
148	31180
149	30574
150	30574
151	30558
152	30169
153	29551
154	29470
155	29268
156	29364
157	29145
158	28817
159	28414
160	28342
161	28053
162	28106
163	27734
164	27258
165	27254
166	27144
167	26667
168	26615
169	26267
170	25975
171	26134
172	25718
173	25484
174	25689
175	25150
176	24862
177	24908
178	24491
179	24248
180	24284
181	24004
182	23899
183	23632
184	23540
185	23157
186	23149
187	22718
188	22696
189	22420
190	22029
191	22080
192	22269
193	21725
194	21707
195	21218
196	21452
197	21084
198	20904
199	20702
200	20707
201	20573
202	20413
203	20359
204	20051
205	19804
206	19742
207	19388
208	19401
209	19114
210	19105
211	18891
212	18697
213	18680
214	18201
215	18173
216	18110
217	17956
218	17638
219	17562
220	17523
221	17388
222	17498
223	17206
224	17100
225	16761
226	16702
227	16859
228	16440
229	16542
230	16252
231	16094
232	16012
233	15734
234	15626
235	15673
236	15482
237	15367
238	15346
239	15174
240	15071
241	14963
242	14622
